# HFPROP RESULT
# ██╗  ██╗███████╗██████╗ ██████╗  ██████╗ ██████╗ 
# ██║  ██║██╔════╝██╔══██╗██╔══██╗██╔═══██╗██╔══██╗
# ███████║█████╗  ██████╔╝██████╔╝██║   ██║██████╔╝
# ██╔══██║██╔══╝  ██╔═══╝ ██╔══██╗██║   ██║██╔═══╝ 
# ██║  ██║██║     ██║     ██║  ██║╚██████╔╝██║     
# ╚═╝  ╚═╝╚═╝     ╚═╝     ╚═╝  ╚═╝ ╚═════╝ ╚═╝
# 
# Hiroaki Fujiwara, 2024
# 
# ==== CALCULATION CONDITIONS
# RADIUS = 0.1143 [m]
# RPM = 5013.0
# V = 8.5 [m/s]
# J = 0.4450371291859015
# 
# ==== BASIC RESULTS
# Thrust = -0.955109844126329 [N]
# Torque = 0.003908078041462877 [Nm]
# Ct = -0.04089963383422377 [UIUC definition]
# Cq = 0.0007320708264009794 [UIUC definition]
# Cp = 0.004599736660257451 [UIUC definition]
# eta = -3.9571516742697046 [UIUC definition]
# 
# ==== BLADE ELEMENT RESULTS
# r: radial position [m]
# cl: lift coefficient [-]
# aoa: angle of attack [deg]
# Wa: axial velocity component [m/s]
# Wt: tangential velocity component [m/s]
# psi: azimuthal position [rad]
# Ut: tangential velocity [m/s]
# U: total velocity [m/s]
# W: resultant velocity [m/s]
# va: induced axial velocity [m/s]
# vt: induced tangential velocity [m/s]
# gamma: circulation [-]
# r              cl                aoa                Wa              Wt                psi               Ut                U                 W               va                vt                  gamma
# 
0.01908810000000 -77.70953678192406 -13.50537829950661 8.28775111772656 10.19306625845443 0.66184435409232 10.02049150354798 13.14002473257479 13.13717695468170 -0.21224888227344 -0.17257475490644 -0.02327385925871
0.02297430000000 -40.34089922799425 -7.05813412751518 8.21072095008584 12.25441474368309 0.56671983758775 12.06059157013859 14.75492694057473 14.75081757837090 -0.28927904991416 -0.19382317354450 -0.03036636038982
0.02686050000000 -16.87726163445125 -3.01090026409031 8.12950341655625 14.31115358330781 0.49071538638651 14.10069163672920 16.46449223736112 16.45897757106509 -0.37049658344375 -0.21046194657861 -0.03769279758153
0.03074670000000 -0.23296552191738 -0.14106152980981 8.07702111229539 16.34974960714920 0.43298323904188 16.14079170331981 18.24212588515816 18.23602429985606 -0.42297888770461 -0.20895790382939 -0.04220731853942
0.03463290000000 0.08014382305013 -0.08709350984074 8.65796654992397 18.10535227837109 0.45478006131533 18.18089176991042 20.06974901560048 20.06898517373311 0.15796654992397 0.07553949153933 0.01709350958463
0.03851910000000 0.27405328040760 -0.05369452614659 9.09350629271220 19.95046921625379 0.45741036623918 20.22099183650102 21.93486974777468 21.92516997982653 0.59350629271220 0.27052262024723 0.06759390936338
0.04240530000000 0.37951257673435 -0.03555212326132 9.40668758345489 21.87112909894126 0.44761135618021 22.26109190309163 23.82868466193406 23.80823511634744 0.90668758345489 0.38996280415037 0.10639498343790
0.04629150000000 0.41419515013263 -0.02960911714470 9.59599031625792 23.86041538247974 0.42827851291093 24.30119196968224 25.74486222816794 25.71774586495075 1.09599031625792 0.44077658720250 0.13015529636912
0.05017770000000 0.38963826486428 -0.03386619085474 9.64322120436080 25.91590323703498 0.40030700401309 26.34129203627285 27.67875839231614 27.65186713022457 1.14322120436080 0.42538879923787 0.13499636986233
0.05406390000000 0.34275492104674 -0.04196124631343 9.61235169728939 27.99951709809235 0.37040397988705 28.38139210286345 29.62690361304198 29.60355152475372 1.11235169728939 0.38187500477110 0.12948887952761
0.05795010000000 0.28768825964705 -0.05145686537015 9.52902536111456 30.09567764959315 0.34081637280825 30.42149216945405 31.58666151742147 31.56821403755659 1.02902536111456 0.32581451986091 0.11744500650950
0.06183630000000 0.25661642183092 -0.05682213542061 9.49533395846565 32.16778812683554 0.31796233067684 32.46159223604467 33.55599753396157 33.53994573573088 0.99533395846565 0.29380410920913 0.11197256124810
0.06572250000000 0.23639646887671 -0.06031979396098 9.48318188163678 34.22930309917186 0.29898531835625 34.50169230263528 35.53331917715713 35.51867015043188 0.98318188163678 0.27238920346342 0.10916799092919
0.06960870000000 0.21599511599663 -0.06384579667498 9.45864997507488 36.29194257004949 0.28136381816117 36.54179236922587 37.51736384070200 37.50428182033026 0.95864997507488 0.24984979917638 0.10475799781956
0.07349490000000 0.19490935702550 -0.06748594272389 9.41804958742906 38.35647452016367 0.26470675342580 38.58189243581648 39.50711864878168 39.49580731732468 0.91804958742906 0.22541791565281 0.09835445132126
0.07738110000000 0.17622340289643 -0.07071116540584 9.37102911814702 40.42005215861737 0.24936237287237 40.62199250240710 41.50176231036001 41.49212941316109 0.87102911814702 0.20194034378972 0.09115507454933
0.08126730000000 0.15499609176776 -0.07436794274800 9.30147230595125 42.48662860060729 0.23438852896933 42.66209256899771 43.50062232159132 43.49288443992096 0.80147230595125 0.17546396839042 0.08142879227109
0.08515350000000 0.13266090269065 -0.07820966642345 9.21554619283123 44.55418974222875 0.22002158773398 44.70219263558831 45.50314303901705 45.49727590986880 0.71554619283123 0.14800289335956 0.07009197236998
0.08903970000000 0.09859438965542 -0.08405133727049 9.05231551168557 46.63508298035035 0.20356810853879 46.74229270217892 47.50886156346171 47.50553000133002 0.55231551168557 0.10720972182857 0.05143164222519
0.09292590000000 0.06428617831076 -0.08992510523375 8.87373079080460 48.71431449526418 0.18785473217915 48.78239276876953 49.51738931170036 49.51593213190255 0.37373079080460 0.06807827350535 0.03270909210249
