-3.000000000000000000e+01	4.227993591080447255e-01	-9.485961973981114070e-01
-2.950000000000000000e+01	4.157086317400553455e-01	-9.313711725472167968e-01
-2.900000000000000000e+01	4.086179043720659654e-01	-9.141461476963221866e-01
-2.850000000000000000e+01	4.015271770040765853e-01	-8.969211228454274654e-01
-2.800000000000000000e+01	3.944364496360871497e-01	-8.796960979945328551e-01
-2.750000000000000000e+01	3.873457222680977696e-01	-8.624710731436382449e-01
-2.700000000000000000e+01	3.802549949001083895e-01	-8.452460482927435237e-01
-2.650000000000000000e+01	3.731642675321190095e-01	-8.280210234418490245e-01
-2.600000000000000000e+01	3.660735401641296294e-01	-8.107959985909543033e-01
-2.550000000000000000e+01	3.589828127961401938e-01	-7.935709737400596930e-01
-2.500000000000000000e+01	3.518920854281508137e-01	-7.763459488891650828e-01
-2.450000000000000000e+01	3.448013580601614336e-01	-7.591209240382703616e-01
-2.400000000000000000e+01	3.377106306921719980e-01	-7.418958991873758624e-01
-2.350000000000000000e+01	3.306199033241826735e-01	-7.246708743364811411e-01
-2.300000000000000000e+01	3.235291759561932379e-01	-7.074458494855865309e-01
-2.250000000000000000e+01	3.164384485882038578e-01	-6.902208246346919207e-01
-2.200000000000000000e+01	3.093477212202144777e-01	-6.729957997837971995e-01
-2.150000000000000000e+01	3.022569938522250976e-01	-6.557707749329025892e-01
-2.100000000000000000e+01	2.951662664842357175e-01	-6.385457500820079790e-01
-2.050000000000000000e+01	2.880755391162462820e-01	-6.213207252311133688e-01
-2.000000000000000000e+01	2.809848117482569019e-01	-6.040957003802187586e-01
-1.950000000000000000e+01	2.738940843802675218e-01	-5.868706755293240374e-01
-1.900000000000000000e+01	2.668033570122781417e-01	-5.696456506784294271e-01
-1.850000000000000000e+01	2.597126296442887616e-01	-5.524206258275348169e-01
-1.800000000000000000e+01	2.526219022762993260e-01	-5.351956009766402067e-01
-1.750000000000000000e+01	2.455311749083099460e-01	-5.179705761257455965e-01
-1.700000000000000000e+01	2.384404475403205659e-01	-5.007455512748508752e-01
-1.650000000000000000e+01	2.313497201723311580e-01	-4.835205264239562650e-01
-1.600000000000000000e+01	2.242589928043417780e-01	-4.662955015730616548e-01
-1.550000000000000000e+01	2.171682654363523979e-01	-4.490704767221669891e-01
-1.500000000000000000e+01	2.100775380683629900e-01	-4.318454518712723789e-01
-1.450000000000000000e+01	2.029868107003736100e-01	-4.146204270203777686e-01
-1.400000000000000000e+01	1.944424664471440245e-01	-3.984694865166548694e-01
-1.350000000000000000e+01	1.865786603726179993e-01	-3.892588203224663368e-01
-1.300000000000000000e+01	1.787868821851422985e-01	-3.801303721626741461e-01
-1.250000000000000000e+01	1.713761429529613023e-01	-3.746628540159045451e-01
-1.200000000000000000e+01	1.634196461996956506e-01	-3.625482905247701115e-01
-1.150000000000000000e+01	1.571378438238059949e-01	-3.548364632326042600e-01
-1.100000000000000000e+01	1.496897186076540098e-01	-3.475326345711964859e-01
-1.050000000000000000e+01	1.442307238496837729e-01	-3.407008960946819043e-01
-1.000000000000000000e+01	1.363293225467840653e-01	-3.339957022030454747e-01
-9.500000000000000000e+00	1.307760326215010593e-01	-3.279464598494026273e-01
-9.000000000000000000e+00	1.241655636093192128e-01	-3.233614670682059544e-01
-8.500000000000000000e+00	1.183309132751277637e-01	-3.203853448951540783e-01
-8.000000000000000000e+00	1.120846178428089174e-01	-3.122958155111633105e-01
-7.500000000000000000e+00	1.070375706901248586e-01	-3.098963546924484169e-01
-7.000000000000000000e+00	1.004857286810464656e-01	-2.986646879505167607e-01
-6.500000000000000000e+00	9.579332273120755303e-02	-2.907162169858032441e-01
-6.000000000000000000e+00	8.903412655100774453e-02	-2.818372293134533968e-01
-5.500000000000000000e+00	8.420347140665172814e-02	-2.751415786680304620e-01
-5.000000000000000000e+00	7.855057532320428026e-02	-2.493550305173704018e-01
-4.500000000000000000e+00	7.285938429378938097e-02	-2.073061209066192900e-01
-4.000000000000000000e+00	6.438631888134549452e-02	-1.412860763139793807e-01
-3.500000000000000000e+00	5.424662939535287304e-02	-4.099207066506403707e-02
-3.000000000000000000e+00	4.514473306577967970e-02	9.712123269809480597e-02
-2.500000000000000000e+00	3.596621190445706967e-02	2.174556305721766225e-01
-2.000000000000000000e+00	2.642448125719849827e-02	3.418473566388835483e-01
-1.500000000000000000e+00	2.384572204730734876e-02	4.085755626061775003e-01
-1.000000000000000000e+00	2.255957568470063485e-02	4.757630689470992991e-01
-5.000000000000000000e-01	2.185472183444860453e-02	5.294897506379758756e-01
0.000000000000000000e+00	2.172470570953579858e-02	5.747173132730042378e-01
5.000000000000000000e-01	2.171472270456936346e-02	6.404422176611019868e-01
1.000000000000000000e+00	2.188133310443805130e-02	6.869418561305731252e-01
1.500000000000000000e+00	2.208799144817444673e-02	7.476763795147789438e-01
2.000000000000000000e+00	2.252772462349201046e-02	7.922331095928846212e-01
2.500000000000000000e+00	2.293784357274256808e-02	8.511046564827976502e-01
3.000000000000000000e+00	2.338956751232610515e-02	9.037742249851657972e-01
3.500000000000000000e+00	2.377613878869679065e-02	9.525802852264824150e-01
4.000000000000000000e+00	2.407897898688095284e-02	1.013901769769604222e+00
4.500000000000000000e+00	2.460721992379859974e-02	1.055474091501537037e+00
5.000000000000000000e+00	2.588977660325945257e-02	1.104382750671859981e+00
5.500000000000000000e+00	2.671100874053797258e-02	1.149005293579324682e+00
6.000000000000000000e+00	2.760814602750262178e-02	1.200893062351578777e+00
6.500000000000000000e+00	2.758650137923341142e-02	1.246078117701584498e+00
